"artist_name","track_name_es","genius_url_es","genius_id_es","lyrics_es"
"Morad","Sigue","https://genius.com/Beny-jr-morad-and-k-y-b-sigue-lyrics",7854976,"Esto es una locura, locura Ay, qu locura Haciendo cosas que solamente yo te dira ""no se te ocurra"" Lo malo de la mente no se borra Alguno' se pensaron que las' puerta a nosotro' ya se no' cierran La' abrimos rpido con otra pierna A oscura' sin la linterna, sin llevar una vida tierna T solo vives lo moderno, tu vida es como de un cuaderno Nosotro' los garabato', pasar el rato, hacer los trato'Yo no suelo decir ""niato"", porque niato crece en un rato Y t siempre supersticiando, hablando raro d los novato'Uno siempre ha sido bueno, y pa' lo' ajno' reparto plato'A veces en lo malo, a veces en lo malo, a veces en lo malo No soy falso y eso molesta, yo en s destaco y t lo detesta' El que la sigue siempre la consigue Envidioso que mucho cuesta, t ests abajo en esta apuesta El que la sigue siempre la consigue A veces lo malo sigue pero nadie lo persigue El que la sigue siempre la consigue Nunca me vers yo siendo amigo del que es enemigo La K y la B dentro de un terrado, por dentro estoy aterrado Pero no puedo ni miro al lado, este dinero yo lo he sudado Tomando riesgos en la misin, castigado por tene' ambicin El humo me nubla la visin, con una vida como 'e ficcin Soaba con yo ser bueno y me tocaba a m despertar En un infierno escondemo' ni hoy ninguno me pue' tocar Soaba con un futuro y nunca lo he podido yo ni lograr Perdn solo a mi madre que conmigo tuvo pasar No soy t , a m me gusta el respeto Y no la pinto siempre discreto , criado yo por los traqueto' Mrate tu actitud , y no actes como necio A tu cabeza la pongo precio y a tu vida yo te la desprecio A veces lo malo sigue pero nadie lo persigue El que la sigue siempre la consigue Nunca me vers yo siendo amigo del que es enemigo No soy falso y eso molesta, yo en s destaco y t lo detesta' El que la sigue siempre la consigue Envidioso que mucho cuesta, t ests abajo en esta apuesta El que la sigue siempre la consigue No soy falso y eso molesta, yo en s destaco y t lo detesta' El que la sigue siempre la consigue Envidioso que mucho cuesta, t ests abajo en esta apuesta El que la sigue siempre la consigue Free Sufian, oye, free Mustafa Free Sufian, oye, free Mustafa Free Lfar, oye, free Lfar Oye, free Lfar Woh-oh-oh-oh"
"Morad","Lo Que Tiene","https://genius.com/Morad-beny-jr-and-rvfv-lo-que-tiene-lyrics",10138750,"Ah-ah-ah-ah No s lo que tiene que me tiene todo el da Pe-pensando soando que eres ma Mo-modelo de pasarela Caminando por la acera todos la quieren mirar Lo que tiene Paso el tiempo contigo hablando y me dice que sola se entretiene Se gana lo suyo, no le gusta lo de otro, sola se mantiene Quiero olvidarme, pero mira que no puedo con lo que tiene, ah-ah Lo que tiene, ah-ah Voy a escribirte hasta un libro Pero no sera un cuento No s ni cmo escribirlo Malo, pero lo lleva dentro Me dice que soy aburrido Que yo no la llevo pa'l centro No me gusta el atosigo A solas disfruto el momento De lo que tiene y s que tiene Va y se viene Quiere dos nene', una casa y un Mercede' Aunque faene no hay noche que no frene No hay quien la llene si su cora solo habla de a Lo que tiene Paso el tiempo contigo hablando y me dice que sola se entretiene Se gana lo suyo, no le gusta lo de otro, sola se mantiene Quiero olvidarme, pero mira que no puedo con lo que tiene, ah-ah Lo que tiene, ah-ah Otro da echndote de meno'Porque de tu' beso' ya no puedo olvidarme Y aunque no te diga mucho que te quiero Sabe' que no duermo sin primero pensarte Y yo s que a vece' no soy sincero Pero, mami chula, no quiero lastimarte Sabe que lo nuestro es verdadero Y tengo mil canciones para dedicarte No s lo que tiene que me tiene to' el da Pensando, soando que eres ma Cuando no te veo yo siento una agona Como si estuviera esposndome un polica Y me dice-y me dice que no ande con otra Si supiera lo que por ella hara Y tu pa're no te quiere conmigo Por eso es que siempre nos vemo' a escond'a Mo-mo-mo-modelo de pasarela Caminando por la acera todos la quieren mirar Ella me pelea, pero dice que no cela Pero yo no soy cualquiera y en la noche va a llamar Dime si me anhela o yo soy un anormal Tanja, Panamera, yo no la llevo a cenar Flota por la arena con su cuerpo de sirena Dice conmigo se queda y yo no me dejo casarT sin m qu vas a hacer? Yo te voy a prender Ahora est sin ti, mujer, no voy solo a amanecer No puedo tocarte, entonce' t brrame No puedo soportarme, chavos pa' sentirme bien No s qu tiene Pero sus amigas le dicen que el Beny es un bandido y eso no conviene Eso sabe que me cela Me paseo con la tola y eso le entretiene Pero el Jacob no se enamora y eso le impresiona porque no se puedeCmo? No se puede, cmo? Lo que tiene Pasa el tiempo contigo hablando y me dice que sola se entretiene Se gana lo suyo, no le gusta lo de otro, sola se mantiene Quiero olvidarme, pero mira que no puedo con lo que tiene, ah-ah Lo que tiene, ah-ah Lo que tiene Paso el tiempo contigo hablando y me dice que sola se entretiene Se gana lo suyo, no le gusta lo de otro, sola se mantiene Quiero olvidarme, pero mira que no puedo con lo que tiene Por lo que tiene Free Sufian , oye, Free el Cata Free Sufian , oye, Free el Cata Free el Cata , free el Cata SH, LF , ah-ah"
"Morad","SE FUE","https://genius.com/Moncho-chavea-and-morad-se-fue-lyrics",11242420,"Ey, eh, I love you'T bajito, eh Uh-uh, Morad Uh-uh-ah Todo' nacemo' para morir Pero mientras viva quiero estar bien, ey Y yo que muero por ti, pero dime qu sabe l No quiero ruina, pero si se va, te juro que voy a por ti Si me entero que l te hace llorar , no lo voy a permitir Tranquilo, en la ma gastndomelo Ahora me estn escuchando hasta en Chile Uy, vamo' pa'rriba como lo' misile'No' escapamo' en un Lambo como lo' dealer Manos arriba, esto es un atraco Te quitan dl medio si t ere' un sapo M llevo a tu jamba sin ser el guapo Esto pa' la' bitchie', tambin pa' los capo'Pero tambin me ca, eh Tirando pa'lante, joseando sin miedo a morir No llevo chaleco porque la mama ora por mDime si me paso a por ti, a por ti Espera, espera, para, para, para un momento Cmbiame el flow que esto ya lo he part'o Dselo t, Morad Dicen que se fue con otro, no sY no lo pens, se fue to' vola'o Se escuchan rumores que t tienes otro al la'o Pero l no te mira como en el tiempo te he mira'o Se escucha por ah que ests con un capo Y yo no soy sapo, si quiere' lo tapo Vmono' a un lugar lejano y me escapo Pasamo' un buen rato, no solo un relato Yo te iba a buscar tranquilo en la moto As no hacen foto' ni mucho alboroto T e-t e-t ere' mala, pero a rato'Ese nunca ha sido de malo Si ese e' malo, pues yo lo mato No me mido, no me igualo No lo cojo si es un atasco No lo cojo si es un atasco Jugando como poli' y caco'Me tiene fund'o del casco Qu t quiere'? Dime en el tiempo qu t quiere' Si no te llamo, t te muere' Y si te llamo t te altera' Qu t quiere'? Dime en el tiempo qu t quiere' Si no te llamo, t te muere' Y si te llamo t te altera' , ah Dicen que se fue con otro, no sY no lo pens, se fue to' vola'o Se escuchan rumores que t tienes otro al la'o Pero l no te mira como en el tiempo te he mira'o"
"Beny Jr","Luna llena","https://genius.com/Beny-jr-luna-llena-lyrics",10057729,"Free El Far, Free el Cata, Free Sufin LF, LFLlevarte a paseo conmigo Pero t me dices que solo los feos Oye Yo quiero llevarte conmigo a paseo Pero ella me dice que solo los feos Si sabes de sobra que no baboseo Pero es que en tu cara te noto el deseo No tiene ninguna foto en historias Porque tampoco tiene redes sociale'Dice qu no somo' iguale'Me tacha que dbo de aprender sociale'Pero esa sabe, soy bandido Dice que mi vala no le asusta Le gusta porque tengo recorrido Y mis enemigos todos se frustran Nunca me ven, no ves al submarino Bajo del agua las balas no escuchan Tengo peleas internas, mil luchas No me preguntas qu hay en mi hucha Luna, dime que seguro que t la ves Si me piensa un poco en la noche O soy yo solo el que est al revs Oye, luna, porque-porque-porque yo ya no sCompr un ticket y perd mi turno, se pas y no lo recordLuna, dime que seguro que t la ves Si me piensa un poco en la noche O soy yo solo el que est al revs Oye, luna, porque-porque-porque yo ya no sCompr un ticket y perd mi turno, se pas y no lo record Yo no soy pa' ti, t me llama' estorboMe tumbo solo hablando con monstruo'A veces, mami, tu cama es un horno No soy feliz o perd su morbo Y que tiene a otros, eso lo sSe le baja rpido el cachSolitario, me creo el Che El amor, historia anime, yeah Baila, bilame, como t son poca'Baila, bilame, le bes en la boca Baila, bilame, como t son poca'Baila, bilame, le bes en la boca Luna, dime que seguro que t la ves Si me piensa un poco en la noche O soy yo solo el que est al revs Oye, luna, porque-porque-porque yo ya no sCompr un ticket y perd mi turno, se pas y no lo record Luna, dime que seguro que t la ves Si me piensa un poco en la noche O soy yo solo el que est al revs Oye, luna, porque-porque-porque yo ya no sCompr un ticket y perd mi turno, se pas y no lo record Yo quiero llevarte conmigo a paseo Pero ella me dice que solo los feos Si sabes de sobra que no baboseo Pero es que en tu cara te noto el deseo No tiene ninguna foto en historias Porque tampoco tiene redes sociale' Dice que no somo' iguale'Me tacha que debo de aprender sociale'"
"Beny Jr","Triple Impacto","https://genius.com/Beny-jr-and-julianno-sosa-triple-impacto-lyrics",11285433,"Con todo el respeto, esto es triple impacto Y yo contigo y con el fuego, ya hicimo' un pacto Nos vamo' pa' la playa y quemamo' un pasto Que pase lo que pase en el siguiente acto Quera un gngster, la baby es de Mattel Sabe que en la calle yo s tengo rango La llamo desde abajo, salimos del fango Ella es de poca' amiga' porque est en las grande' liga'Se hizo el pecho y la barriga, no le gusta si la hostigan No le gusta que l diga' que la aman porque la andan buscando, ah Ella es d poca' amiga' porque est en las grande' liga'Se hizo el pecho y la barriga, no le gusta si la hostigan No le gusta que le diga' que la aman porque la andan buscando Tengo tola y no pa' asustarte Es que mi vida es desastre Tu pregunta es interesante Si hablo yo, no va a gustarte Turca morena como Serena Con luna llena t me envenena' Tuve decena' , viene de Viena Dice la ajena, no se le frena Co-Co-Co-Co-Con todo el respeto, esto es triple impacto Yo contigo me la encajo, baby, te hago un pacto Nos vamo' pa' la playa y quemamo' un pasto Que pase lo que pase en el siguiente acto Quera un gngster, la baby es de Mattel Sabe que en la calle yo s tengo rango La llamo desde abajo, salimos del fango Y yo quiero darte amor, no solamente tango Con todo el respeto, esto es triple impacto Y yo contigo y con el fuego, ya hicimo' un pacto Discute de da y por la noche, el acto Y si le paso la llamada, me dice: ""No hay tacto""Quera un gngster, la baby es de Mattel Sabe que en la calle mato por mi rango Me hice rico pero todava vendo fango Solo eres t en el mundo, que vale lo' segundo'Y si no te tengo cerca, siento que me hundo Morir en la calle, no hay vida que cambie rumbo Porque la verdad, no me acostumbro Tira la llamada que de una yo me zumbo Si te molesta alguien, mami, te lo tumbo Si tienes gana', te resuelvo y te lo hundo Sabes que es verda-a-a-a' T-T-T te muere', mami, cuando te beso No soy mafioso, soy travieso T me toca' y me quedo yeso Musa a base de mi proceso Huele Dior ella al pasar Vacila con la Audemar'Amanece por Via 'el Mar Tumbada, mira estelar Con todo el respeto, esto es triple impacto Yo contigo me la encajo, baby, te hago un pacto Nos vamo' pa' la playa y quemamo' un pasto Que pase lo que pase en el siguiente acto Quera un gngster, la baby es de Mattel Sabe que en la calle yo s tengo rango La llamo desde abajo, salimos del fango Y yo quiero darte amor, no solamente tango Con todo el respeto, esto es triple impacto Y yo contigo y con el fuego, ya hicimo' un pacto Discute de da y por la noche, el acto Y si le paso la llamada, me dice: ""No hay tacto""Quera un gngster, la baby es de Mattel Sabe que en la calle mato por mi rango Me hice rico pero todava vendo fango Oye Yeah Sosa, Sosa898 Julianno Sosa Beny Jr, ey Habla, Kreamly LF F F"
"Beny Jr","Eurovision (feat. Rondodasosa, Baby Gang, A2 Anti, Morad, Beny Jr, Ashe 22 & Freeze corleone)","https://genius.com/Genius-brasil-traducoes-central-cee-eurovision-ft-rondodasosa-baby-gang-a2-anti-morad-beny-jr-ashe-22-and-freeze-corleone-traducao-em-portugues-lyrics",10642164,"Dados, ala, mira, LEkip, Ekip O-ow, diga pra eles Central Cee No seja capturado Venho direto da Itlia Sou da Arbia, clique-claque Ainda tenho que fazer riscos calculados Ow, eu venho direto da Itlia Onde seu corpo dissolve em cido Minha mina gostosa igual Takis, sem festa, sou rico, no vacilo Se tiver falando de drill na Itlia, no existe rival, no somos iguais Tenho um corao de ouro, mas espero que todos os meus inimigos morram Papo de mfia, crteza , sou mais rico qu todos meus inimigos Por que eles me baniram da minha cidade? S t tentando fazer o meu trabalho A multido na sua quebrada, nos corres, a sua puta sabe todos os meus versos Espreitando, rebolando, gozando , s por uma Birkin Sou da Arbia, clique-claque, sem kalm, bunda grande de harm Muita grana, to halal, moleque de rua, Montana Uma-uma Glock acaba com voc, um tiro e voc j era Vadia m, me ama, garoto mau me chama Vit-vit, ciap-ciap, j meti na bunda da puta-puta Enfie na bunda da sua mentira-ra Onde t sua gangue? Vou fazer voc gostar de, ""Clap, clap""Eles no deixam o Baby Gang-Gang entrar Contando mil fatos-fatos, eu escapo da palha igual lag-lag Eu mato geral com a MAC-MACVoc se sente o Pac-Pac porque usa uma bandana e negro-negro Isso no significa que agora voc o 2 Pac-Pac A-ainda tenho que fazer riscos calculados Faz seis meses que ela esperar pra foder Tive que colocar minha mina em uma lista de espera Os penhores to pagando de fMeu nome no para de sair da boca deles Por que eles amam dizer que to do lado de fora?Juro que eles no to saindo de casa Esses moleques continuam tentando me incomodar T tentando lucrar e ficar fora do caminho, papo reto Mas t preso no olho do pblico Ano passado eu tava sentado num pub cheirando pEsse ano eu ganhei mais que o suficiente com rimas Fiz mais que o suficiente, posso parar agora , huh T na hora de eu compartilhar com os caras Me sinto um pouco estranho colocando meu ice Mal posso esperar pra gangue toda brilhar, hm Arma na minha cintura Parece que tomei um Viagra C-c no quer cair, Niagara O celular azul quente, ento tamo falando em patois Veio como um arrebatamento , aco-acorde e cheire o cafNo fundo, onde a gua agitada Meu mano anda comigo quando quero ir com tudo No fale , s oua Trago na sua porta, testemunha de JeovO mano devia ter feito um buraco em sua peruca No poderia me importar menos, o mundo continua girando Falar demais pode te fazer ser cortado Olhe quantas lojas ns perdemos, t puto Perdi quando fiz aquele vdeo O cheiro quando bolo esse baseado, fede Se formos te buscar, c vai ver uma equipe de primeira Primeira parte, com sua cabea, objetivos pra madeira Eu gostaria de te ver e ver como seu grupo muda Te ver e saber que voc era comida de viado parte os junkies e o L sempre toca primeiro No compartilhe, seu otrio, c um mentiroso Curto olhar pra voc e ver uma voz sussurrando pra vocC late como uma cadela, a boca fala e depois se cala No tenho problemas se eles ligarem pra outra pessoa dizendo que querem consertar o problema Em prob-, em problemas sou o Costa, mas eles me amam, sou o Neymar El-eles sempre fazem de propsito, mas se eu tiver em apuros, peo o VAR Que a polcia no investigue, agora eu quero s cantar Ow-ow, diga pra eles Central Cee, ""Fui eu que fiz a festa ficar foda""Sua mina danando soltinha, me disse que curtiu, sou moleque No-no tente ser assim, eu te paro no skate E ento quando sentir pessoalmente o ki, comece a dizer que no pra voc Coloquei tudo em criptomoedas , h muitos impostos Preciso do p esquerdo do Robben e do direito do Klitschko Zero, zero policiais, no h nenhum policial ao meu redor T com meus manos, amigos slidos, pra comprar tudo igual Monopoly Queremos tudo pra famlia, mas aqui conhecemos a omertSempre vamos dormir quando nossas mes to trabalhando T com 160, t no GTD, no vou vender minha alma por alguns CDs Eu me apresento em Londres pra marcar a Europa com um gol no estilo Trezeguet A Califrnia parada, ele um otrio da Itlia at Niarry-Tally Eu sou o Koulibaly, c o Adil Rami , longe deles como se eu morasse em Bali, puta que pariu No comemos roseta, acendemos o congelado, uma grande besta, um salve pro ZRa-rap francs, ele tem ISTs, 20-22, s criptografias e NFTs Me-Metaverso, tenho a Decentraland segura, envie o sinal, t rolando em Londres Fale comigo em meu prprio idioma, Insh'Allah, em breve estarei chegando de Lamborghini no interior do pas Eu tenho o taco, tenho a bola, tenho o giro Preciso de um salrio quatro vezes maior no Alaba, 2 K22, que vai fazer sucesso igual Jalalabad"
"JC Reyes","BADGYAL","https://genius.com/Saiko-jc-reyes-and-dei-v-badgyal-lyrics",10225362,"Se est arreglando en el espejo con la amiga Sube una story con las Bratz pa' que le digan Que est buensima, pero ya lo saba Sale hasta tarde Esta-Esta noche no va a fantasmear Me pone ojito de gata cuando baila Se me pone perra cuando le pongo Bad Gyal Y le quiere dar hasta el otro da Se est arreglando en el espejo con la amiga Sube una story con las Bratz pa' que le digan Que est bunsima, pero ya lo saba Sale hasta tarde Esta noche no va a fantasmear Me pone ojito' de gata cuando baila Se me pone perra cuando le pongo Bad Gyal Y le quiere dar hasta el otro da Perreando la buscan los de la polica Me dijo que quiere ser ma, ah-ah Yo con la espalda peg en la pared Vente si te digo ""ven"", a ese culo le rezo un amn T tan bellaca pidiendo que te lo dMi Barbie, yo no soy tu Ken, esta noche vino sin sostn Y con la amiga que est caliente tambin Quin la ha visto y quin la ve como quiera que se ponga Sube un story que es difcil que te oponga'Mueve el culo como Nicki en el video de ""Anaconda""Si tarde llega a la casa se le cuenta una milonga Ella e' una mamisonga, tremenda putonga Hoy va a hacer de to', adem', yo se lo voy a mamar Tambin a quien le propongal solo tira a fallar, quiere bicho, bichiyal Ella una mamisonga, tremenda putonga Hoy va a hacer de to', adem', yo se lo voy a mamar Tambin a quien le propongal solo tira a fallar, quiere bicho, bichiyal Esta-Esta noche no va a fantasmear Me pone ojito' de gata cuando baila Se me pone perra cuando le pongo Bad Gyal Y le quiere dar hasta el otro da Esta noche no va a fantasmear Me pone ojito de gata cuando baila Se me pone perra cuando le pongo Bad Gyal Y le quiere dar hasta el otro da La beb e una Barbie Cara de buena, pero e' una bad bitch Y en la noche me imagino devorndote Atrapndote , provocndote , sDeja que te pille, t ere una pilla Para que chille' ponte a four en la silla Cree que e' Miami, pero estamo' en Armilla Le gustan mis diamante, como brillan, dice Sale con su amiga cada fin de semana Est en racha y borracha En falda asomando las cacha'No vuelve a la casa si no es de da Se est arreglando en el espejo con la amiga Subi una story enseando el culo pa' que le digan Que est buensima, pero ya lo saba Sali hasta tarde Esta-Esta noche no va a fantasmear Me pone ojito' de gata cuando baila Se me pone perra cuando le pongo Bad Gyal Y le quiere dar hasta el otro da Under Water Ey, Dei V Quie-Quie-Quiere que le pongan ""GATITA GANGSTER"" de Dei V y KAROL G Le gustan la' mujere' y lo' hombre', ella e' bi De Espaa, mezcl el tabaco con el hach'Hay que pagar si quiere' darle , porque ese culo no e' free La baby rompe , sabe que est buena y que no tiene compe E' una diablita, quiere que la invoque Siempre est enseando el escote Se pone los traje' corto' pa' que el culo se le note Ma-Ma-Ma, dame ese flavor Ella e' una mala aunque tiene cara 'e angel El bro me pregunt si le vo'a dar, dije ""s, seor"", 'toy que la preo T quiere' bicho, ma, pues ven, que te lo enseo Ma, dame ese flavor Ella e' una mala aunque tiene cara 'e angel El bro me pregunt si le vo'a dar, dije ""s, seor"", 'toy que la preo T quiere' bicho, ma, pues ven, que te lo enseo Esta noche no va a fantasmear Me pone ojito' de gata cuando baila Se pone perra despus de tomar Y le quiere dar hasta el otro da Se est arreglando en el espejo con la amiga Subi una story enseando el culo pa' que le digan Que est buensima, pero ya lo saba Sali hasta tarde Under Water Los Flavorz Mera, dime, Saiko Dime, JC Reyes PR y Espaa El de los Flavorz"
"JC Reyes","STAR","https://genius.com/Jc-reyes-star-lyrics",11003105,"U-U-U, U-U-U, Uve Mojada flow Nilo cuando yo la toco, ese totito siempre huele a coco Se lo muerdo, se lo escupo, est caliente como si e' un hot dog Es una puta en la habitacin, lo hacemo' pero siempre e' sin condn La clavo como yo clavo a la Glock, como stripper modela en mi saln Y grita ""ah-ah-ah-ah""Cuando se lo hago, dice que no pare y le doy otra ve', eh-eh-eh Como peli porno, si ella se caliente parece una star Se me trpa encima, hago que se vnga, le doy como e', eh-eh-eh-eh Le doy como e', eh-eh-eh-eh Y grita ""ah-ah-ah-ah""Cuando se lo hago, dice que no pare y le doy otra ve', eh-eh-eh Como peli porno, si ella se caliente parece una star Se me trepa encima, hago que se venga, yo s cmo e', eh-eh-eh-eh Yo s cmo e', eh-eh-eh-eh Parece una star, se pone bellaca Dime dnde ests, que le llegas pa' acSiempre me lo da, ah-ah-ah-ah Porque se la saco y nadie se la saca Le compr unos taco' , bscame una paca Lo hacemo' recin salido el sol Con dos perco me quit el dolor Encajamo' como una Glock con el tambor Young Gypsy, my nigga, se me pegan la' amiga'Buscan la opportunity queriendo una barriga Yo no se lo meto aunque en Instagram me siga Sabe que lo mato, ese culo est fuera 'e liga Nadie ve lo que hacemo' a poca lu' Le canto mientra' me entrega su virtu'Se lo mamo, ella fuma del Backwood Ese toto encima hace vud Mojada flow Nilo cuando yo la toco, ese totito siempre huele a coco Se lo muerdo, se lo escupo, est caliente como si e' un hot dog Es una puta en la habitacin, lo hacemo' pero siempre e' sin condn La clavo como yo clavo a la Glock, como stripper modela en mi saln Y grita ""ah-ah-ah-ah""Cuando se lo hago, dice que no pare y le doy otra ve', eh-eh-eh Como peli porno, si ella se caliente parece una star Se me trepa encima, hago que se venga, le doy como e', eh-eh-eh-eh Le doy como e', eh-eh-eh-eh Y grita ""ah-ah-ah-ah""Cuando se lo hago, dice que no pare y le doy otra ve', eh-eh-eh Como peli porno, si ella se caliente parece una star Se me trepa encima, hago que se venga, yo s cmo e', eh-eh-eh-eh Yo s cmo e', eh-eh-eh-eh"
"JC Reyes","FARDOS","https://genius.com/Jc-reyes-and-de-la-ghetto-fardos-lyrics",10061979,"Geezy Young Gipsy Remix Chuligang, Chuligang Me la llevo en el coche y no es un Gallardo A ella le gustan los nio' que mueven fardo'A dosciento' kilmetro' prendo un cigarro Bebiendo code con Fanta Con ese flow me mata, con ese flow me mata Si le doy yo le encanta, solo' los do' a las tanta', woh-oh Me mata, con ese flow me mata Si le doy yo le encanta, solo' los do' a las tanta', woh-oh-oh Si lo mueve, ella a m me mata Le ponen Romeo y baila hasta bachata Si le vieran la cara de sata Que pone cuando yo la hago mi gata Cuando le doy le encanta Diabla con cara de santa No va conmigo si el loco le canta Por eso nos amanecimo' hasta las tanta' Me la llevo en el coche y no es un Gallardo A ella le gustan los nio' que mueven fardo'A dosciento' kilmetro' prendo un cigarro Bebiendo code con Fanta Con ese flow me mata, con ese flow me mata Si le doy yo le encanta, solo' los do' a las tanta', woh-oh Me mata, con ese flow me mata Si le doy yo le encanta, solo' los do' a las tanta', woh-oh-oh Ella no le habla a los feo'No sale en foto' y vdeo'Es la madrina, te baja el de'o Sin fantasmeo, no hay rebuleo Se excita si hay tiroteo Chingamo' frente al espejo En el Lambo que le den de'o Bellaqueo, fronteo, bellaqueo, no Le gustan los chicos malo', mis tatuaje' en los brazo'Las pistola' y los palo', los que mueven trabajo Ella me guarda los R debajo del mattress Ella no suelta la Glock por si acaso quieren darme Me la llevo en el coche y no es un un Gallardo A ella le gustan los nio' que mueven fardo'A dosciento' kilmetro' prendo un cigarro Bebiendo code con Fanta Con ese flow me mata, con ese flow me mata Si yo le doy le encanta, le vo'a romper las nalga', oh-oh-oh Me mata, con ese flow me mata Si yo le doy le encanta, le vo'a romper las nalga', oh-oh-oh You know what time it is, homie Ja El remix, Spanish version De La Geezy, baby Young Gipsy, nigga Prra Espaa y Puerto Rico You know, Josh ""La Arma de Oro""This shit Let's go Echo"
"Rvfv","Desespero","https://genius.com/Morad-and-rvfv-desespero-lyrics",9101583,"Ala-ala-ala-ala, ala-ala-ala-ala Ala-ala-ala-ala, tiene todo lo que quieren to' la' mujere'Ala-ala-ala-ala, ser que lo hace pa' ver si yo me altero?Ser que lo hace pa' ver si me desespero?Ser su nuevo novio que no la quiere?Ala-ala-ala-ala, ser su nuevo novio que no la quiere En mi corazn ya no cabe nada, mi madre ha llenado todo ese aforo Y si yo te veo maana, te digo que lo vera todo ms oscuro Tien corazn que es de lana, pro los sentimiento' que parecen de acero Yo s que el dolor no es bueno, pero es que con otra rpidamente me curo Si yo coga la pistola, me deca que rpido le pone el seguro Cuando nos veamo' a sola', solamente me quera hablar del futuro Ahora que t ya te ves sola, ves que solamente no te llena el dinero Y si yo te llamo a sola', sabe' que t vendras sin tener ni un pero Ella me peda el tiempo, yo no tengo tiempo, si el tiempo no para Ella tiene un nuevo novio, pero a ese novio le pone mi cara Y no tengo que repetir que parece de Italia, parece su cara Es bonita su cara, es bonita su cara Ala-ala-ala-ala, tiene todo lo que quieren to' la' mujere'Ala-ala-ala-ala, ser que lo hace pa' ver si yo me altero?Ser que lo hace pa' ver si me desespero?Ser su nuevo novio que no la quiere?Ala-ala-ala-ala, ser su nuevo novio que no la quiere Y me dice que la pase a busca-ar Pero luego no quiere saber nada Y yo s que no dice la verda-ad Porque vive' pensando en el maana Te, te juro que si no vuelo a verte Siento como algo dentro se muere Y no quiero que cambie mi suerte Contigo ya no quiero otra' mujere'Sabe' que por ti me desvelo Me gusta tu figura, el olor de tu pelo, eh-eh Antes me deca' ""te quiero""Ahora te haces la dura, sentimientos de acero Ala-ala-ala-ala, tiene todo lo que quieren to' la' mujere'Ala-ala-ala-ala, ser que lo hace pa' ver si yo me altero?Ser que lo hace pa' ver si me desespero?Ser su nuevo novio que no la quiere?Ala-ala-ala-ala, ser su nuevo novio que no la quiere Ala-ala-ala-ala, tiene todo lo que tienen toda' las mujere'Ala-ala-ala-ala, ser que lo hace pa' ver si yo me altero?Ser que lo hace pa' ver si me desespero?Ser su nuevo novio que no la quiere?Ala-ala-ala-ala, ser su nuevo novio que no la quiere"
